"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados. Marque NO APLICA (N/A) en los caso que considere necesario.";"";"O10_En promedio, �Cu�ntas horas por semana ha tenido que dedicar a las actividades a desarrollar fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que ha tenido que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";"HT1_La plataforma SICUA ha funcionado de manera adecuada.";"HT2_La plataforma SICUA ha sido f�cil de usar.";"HT3_Los contenidos en la plataforma han estado organizados de una manera que facilita su navegaci�n.";"O1_Los contenidos han estado disponibles en�la plataforma de manera oportuna.";"O2_He tenido claros los momentos en los que ocurren las actividades durante el curso.";"O3_La distribuci�n de las actividades en el tiempo ha sido adecuada.";"O5_He recibido respuesta oportuna a mis inquietudes sobre las actividades del curso.";"O6_He recibido respuesta satisfactoria a mis inquietudes sobre las actividades del curso.";"Response";"";"C2_Las instrucciones para el desarrollo de cada una de las actividades han sido claras.";"C3_Los recursos de aprendizaje seleccionados para el curso (p. ej. lecturas, videos, presentaciones en power point) han sido pertinentes para mi aprendizaje.";"C4_La informaci�n contenida en los recursos de aprendizaje (p. ej. lecturas, videos, presentaciones en power point) ha sido clara.";"C5_La informaci�n contenida en los recursos de aprendizaje (p. ej. lecturas, videos, presentaciones en power point) ha sido suficiente.";"C6_En este curso el uso de recursos de aprendizaje en diferentes formatos ha contribuido a mi proceso de aprendizaje.";"A1_Las actividades desarrolladas en los espacios presenciales y no presenciales se articulan, integran y complementan entre s�.";"Lecturas requeridas";"Clases magistrales";"Experimentos o juegos econ�micos";"Discusiones de casos";"Elaboraci�n entrega primer problema (M�dulo Gesti�n de la Paz)";"Elaboraci�n entrega segundo problema (M�dulo Gesti�n de la Conservaci�n)";"I1_La interacci�n con mis compa�eros ha apoyado mi proceso de aprendizaje.";"I3_La metodolog�a de ense�anza utilizada en este curso me ha facilitado colaborar con mis compa�eros.";"I5_En este curso se promueve la participaci�n de los estudiantes.";"I7_En este curso se promueve la retroalimentaci�n entre compa�eros.";"I8_En este curso se promueve el intercambio de experiencias e ideas entre estudiantes.";"E1_Me explicaron la forma y los mecanismos que se utilizar�an para evaluarme en el curso.";"E2_Los criterios de evaluaci�n han sido claros.";"E3_La evaluaci�n ha sido coherente con las actividades realizadas en el curso.";"E4_La retroalimentaci�n que recib� ha sido constructiva.";"E5_La retroalimentaci�n que recib� de las actividades evaluadas ha sido oportuna.";"E6_La retroalimentaci�n que recib� me ha permitido conocer en qu� deb�a mejorar.";"E7_La retroalimentaci�n que recib� me ha permitido saber c�mo pod�a mejorar.";"E8_La interacci�n y comunicaci�n con mi profesor(a) ha sido suficiente para orientar mi proceso de aprendizaje.";
"6511148697";"164697969";"2017-11-10 9:06:23";"2017-11-10 9:09:15";"190.159.18.25";"Login estudiante11235";"";"";"";"5";"5";"5";"5";"4";"4";"3";"4";"4";"3";"3";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"2";"3";
"6509937020";"164697969";"2017-11-09 18:03:19";"2017-11-09 18:06:37";"157.253.148.199";"Login estudiante5484";"";"";"";"2";"4";"2";"3";"3";"4";"2";"2";"4";"3";"2";"4";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6504700639";"164697969";"2017-11-07 23:21:02";"2017-11-07 23:21:24";"186.28.92.188";"Login estudiante12261";"";"";"";"4";"4";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6504585729";"164697969";"2017-11-07 21:54:28";"2017-11-07 22:02:30";"181.242.190.248";"Login estudiante4912";"";"";"";"5";"5";"4";"5";"2";"3";"0";"0";"6";"4";"4";"4";"3";"4";"3";"4";"2";"3";"2";"3";"4";"4";"4";"2";"3";"2";"2";"3";"4";"5";"4";"2";"3";"3";"2";
"6504001735";"164697969";"2017-11-07 16:35:15";"2017-11-07 16:45:29";"181.57.240.60";"Login estudiante12257";"";"";"";"5";"4";"4";"4";"4";"4";"3";"3";"7";"4";"3";"2";"2";"4";"2";"3";"5";"3";"2";"4";"2";"5";"1";"2";"5";"3";"4";"4";"4";"3";"4";"3";"2";"2";"2";
"6503694674";"164697969";"2017-11-07 14:49:58";"2017-11-07 14:51:29";"157.253.164.250";"Login estudiante4935";"";"";"";"4";"4";"4";"4";"3";"3";"3";"3";"6";"3";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"4";"4";"4";"4";"3";"4";"3";"4";
"6502511147";"164697969";"2017-11-07 8:24:23";"2017-11-07 8:24:40";"157.253.206.32";"Login estudiante6110";"";"";"";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6495865973";"164697969";"2017-11-03 12:46:15";"2017-11-03 12:50:47";"157.253.169.50";"Login estudiante12286";"";"";"";"1";"1";"1";"5";"2";"2";"3";"1";"4";"3";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1";"1";"5";"5";"1";"5";"5";"2";"1";"1";"1";"1";"1";"1";"1";"1";
"6493572379";"164697969";"2017-11-02 14:04:12";"2017-11-02 14:10:39";"157.253.254.253";"Login estudiante4035";"";"";"";"4";"4";"4";"4";"2";"4";"0";"0";"7";"3";"4";"4";"2";"4";"3";"4";"4";"4";"4";"3";"4";"5";"2";"2";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";
