"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"En promedio �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase? Seleccione un n�mero.";"Teniendo en cuenta las caracter�sticas del curso �C�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades o recursos a su proceso de aprendizaje.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"";"";"";"";"";"";"";"";"";"Las herramientas tecnol�gicas usadas en el curso (Moodle, Taiga, GitHub) funcionaron de manera adecuada.";"Las herramientas tecnol�gicas usadas en el curso ((Moodle, Taiga, GitHub) fueron f�ciles de usar.";"Los contenidos en la plataforma (Moodle) estaban organizados de una manera que facilitaba su navegaci�n.";"Los contenidos estaban disponibles en la plataforma de manera oportuna";"Tuve claridad sobre los momentos en los que ocurrir�an las actividades durante el semestre.";"La distribuci�n de las actividades en el tiempo fue adecuada.";"Tuve claro a qui�n dirigirme en caso de que se me presentaran dificultades tecnol�gicas.";"Recib� respuesta oportuna para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta satisfactoria cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"Response";"";"Las instrucciones para el uso de las herramientas tecnol�gicas fueron claras (Moodle, Taiga, GitHub).";"Las instrucciones para el desarrollo de cada una de las actividades fueron claras.";"Los contenidos seleccionados para el curso eran pertinentes para mi aprendizaje.";"La informaci�n contenida en los recursos de aprendizaje (Videos, lecturas, otros) fue clara.";"La informaci�n contenida en los recursos de aprendizaje (Videos, lecturas, otros) fue suficiente.";"Tuve la oportunidad de acceder a recursos de aprendizaje en diferentes formatos  (videos, lecturas, actividades, etc).";"Las actividades presenciales y no presenciales se articulan, integran y complementan entre s�.";"Sprint 1";"Sprint 2";"Sprint 3";"Sprint 4";"Foros tem�ticos";"Foros Sprint";"Clase presencial";"Auto-evaluaciones";"Trabajos individuales";"Trabajos grupales";"Lecturas";"Videos";"Presentaciones";"Tutoriales";"Parciales";"La interacci�n con mis compa�eros apoy� mi proceso de aprendizaje.";"El prop�sito de las interacciones con mis compa�eros fue claro.";"Las instrucciones para interactuar con mis compa�eros fueron claras.";"En este curso hubo espacios para que los estudiantes participen.";"Me explicaron la forma y los mecanismos que se utilizar�an para evaluarme en el curso.";"Los criterios de evaluaci�n han sido claros.";"La evaluaci�n fue coherente con las actividades realizadas en el curso.";"La retroalimentaci�n que recib�en mis evaluaciones fue constructiva.";"La retroalimentaci�n que recib� en mis evaluaciones fue�oportuna.";"La retroalimentaci�n que recib� en mis evaluaciones me permiti� conocer en qu� deb�a mejorar.";"La retroalimentaci�n que recib� en mis evaluaciones�me permiti� saber c�mo pod�a mejorar.";"La interacci�n y comunicaci�n con mi profesor y/o tutor fue suficiente para orientar mi proceso de aprendizaje.";"El profesor genera un ambiente de confianza para que los estudiantes participen y hagan preguntas.";
"6201130337";"156731405";"2017-05-16 22:44:29";"2017-05-16 22:54:22";"186.84.139.140";"";"";"";"";"5";"4";"5";"5";"3";"2";"2";"4";"3";"11";"4";"4";"3";"4";"2";"2";"2";"1";"5";"5";"5";"5";"3";"3";"5";"4";"4";"4";"4";"3";"4";"4";"3";"3";"3";"4";"3";"5";"5";"5";"5";"2";"2";"2";"4";"5";
"6200534948";"156731405";"2017-05-16 15:37:03";"2017-05-16 15:57:55";"157.253.224.106";"";"";"";"";"3";"5";"4";"5";"5";"5";"5";"4";"4";"11";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"3";"5";"5";
"6200488145";"156731405";"2017-05-16 15:15:20";"2017-05-17 12:14:40";"186.28.82.41";"";"";"";"";"5";"4";"4";"5";"4";"4";"3";"3";"3";"6";"4";"4";"4";"3";"4";"2";"4";"4";"4";"4";"4";"4";"2";"2";"4";"4";"3";"2";"3";"4";"4";"3";"2";"4";"3";"4";"4";"4";"4";"2";"2";"3";"2";"2";"2";"2";
"6200452231";"156731405";"2017-05-16 14:58:12";"2017-05-16 15:05:19";"177.252.249.157";"";"";"";"";"4";"4";"4";"4";"4";"3";"5";"4";"4";"21";"5";"4";"3";"4";"4";"4";"5";"2";"4";"4";"4";"4";"2";"2";"3";"4";"5";"2";"5";"3";"5";"4";"3";"1";"2";"3";"4";"5";"5";"5";"5";"4";"5";"4";"3";"3";
"6200270713";"156731405";"2017-05-16 13:30:45";"2017-05-16 13:36:00";"186.28.82.41";"";"";"";"";"3";"2";"3";"4";"3";"3";"4";"4";"4";"9";"3";"3";"3";"3";"3";"3";"3";"1";"5";"5";"5";"4";"2";"2";"5";"5";"2";"3";"3";"5";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"2";"3";"2";
"6200152250";"156731405";"2017-05-16 12:33:33";"2017-05-16 12:33:38";"201.221.122.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6199760991";"156731405";"2017-05-16 9:40:00";"2017-05-16 10:04:53";"190.216.157.221";"";"";"";"";"4";"4";"3";"5";"5";"4";"5";"4";"4";"13";"5";"4";"4";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"4";"4";"5";"5";"5";"4";"4";"4";"4";"3";"3";
"6199572741";"156731405";"2017-05-16 7:54:27";"2017-05-16 8:08:30";"181.148.135.31";"";"";"";"";"1";"1";"1";"1";"4";"4";"4";"4";"4";"11";"3";"4";"4";"1";"4";"4";"1";"4";"5";"5";"5";"5";"3";"3";"3";"3";"5";"5";"4";"4";"3";"4";"3";"5";"5";"5";"5";"5";"5";"4";"3";"3";"4";"3";"3";"5";
"6199233964";"156731405";"2017-05-16 2:10:56";"2017-05-16 2:14:21";"186.30.64.60";"";"";"";"";"5";"4";"4";"5";"4";"3";"5";"5";"5";"9";"3";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"5";"";"";"";"";"";"";"";"";"";
"6199027289";"156731405";"2017-05-15 21:38:15";"2017-05-15 21:45:39";"181.54.146.253";"";"";"";"";"4";"4";"4";"4";"4";"2";"3";"3";"3";"15";"5";"4";"3";"5";"5";"4";"4";"3";"4";"4";"4";"4";"3";"3";"5";"5";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"4";"3";
"6199001138";"156731405";"2017-05-15 21:12:26";"2017-05-15 21:15:28";"186.81.137.74";"";"";"";"";"5";"4";"2";"4";"4";"4";"4";"5";"4";"14";"4";"4";"4";"4";"5";"5";"4";"2";"4";"4";"4";"4";"4";"4";"2";"2";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6196483397";"156731405";"2017-05-13 21:38:46";"2017-05-13 21:46:28";"186.30.64.90";"";"";"";"";"4";"4";"3";"4";"4";"4";"4";"4";"4";"15";"4";"4";"4";"4";"4";"4";"5";"3";"3";"4";"4";"4";"3";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"4";
"6196211662";"156731405";"2017-05-13 12:04:50";"2017-05-13 12:25:20";"177.252.248.6";"";"";"";"";"3";"3";"4";"3";"4";"3";"4";"3";"3";"18";"4";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"3";"3";"3";"4";"4";"4";"4";"3";"4";"2";"4";"4";"4";"4";"4";"3";"4";"3";"4";"2";"3";"3";"3";"3";
"6196210452";"156731405";"2017-05-13 12:02:59";"2017-05-13 12:10:26";"157.253.220.101";"";"";"";"";"4";"3";"2";"3";"4";"5";"4";"2";"2";"5";"2";"4";"4";"3";"4";"4";"5";"5";"4";"4";"4";"4";"1";"4";"5";"1";"4";"5";"3";"3";"4";"2";"1";"5";"5";"5";"5";"4";"2";"2";"2";"3";"3";"3";"3";"2";
"6196072826";"156731405";"2017-05-13 8:22:43";"2017-05-13 8:30:04";"181.255.66.24";"";"";"";"";"4";"4";"4";"4";"3";"4";"4";"3";"3";"7";"3";"4";"4";"4";"4";"4";"4";"2";"3";"3";"3";"3";"2";"2";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"1";"3";
"6195998893";"156731405";"2017-05-13 6:05:12";"2017-05-13 6:13:11";"201.216.57.43";"";"";"";"";"4";"4";"4";"4";"3";"4";"4";"3";"3";"13";"3";"4";"3";"4";"5";"4";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"3";"4";"4";"3";"3";"4";"5";
"6195792278";"156731405";"2017-05-12 22:10:30";"2017-05-12 22:21:47";"191.90.228.101";"";"";"";"";"5";"5";"3";"5";"2";"2";"5";"5";"5";"7";"4";"5";"3";"4";"2";"4";"5";"2";"3";"3";"3";"3";"1";"1";"1";"3";"5";"4";"5";"5";"5";"5";"4";"1";"5";"1";"5";"4";"5";"5";"5";"5";"5";"5";"5";"4";
"6195776405";"156731405";"2017-05-12 21:41:48";"2017-05-12 21:47:55";"190.131.214.2";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"15";"4";"4";"4";"5";"5";"4";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"3";"4";
"6195717986";"156731405";"2017-05-12 20:08:01";"2017-05-12 20:18:16";"190.158.17.62";"";"";"";"";"3";"4";"4";"4";"4";"4";"3";"3";"4";"6";"3";"4";"4";"4";"4";"4";"4";"1";"3";"3";"3";"3";"2";"3";"4";"3";"3";"3";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"3";
"6195274154";"156731405";"2017-05-12 14:23:21";"2017-05-12 14:28:04";"201.221.122.2";"";"";"";"";"4";"5";"4";"5";"4";"4";"5";"5";"5";"3";"3";"4";"4";"5";"5";"4";"5";"4";"4";"4";"5";"5";"4";"4";"5";"4";"4";"5";"5";"5";"4";"4";"4";"5";"5";"4";"5";"4";"5";"5";"5";"5";"4";"4";"5";"5";
"6194858017";"156731405";"2017-05-12 10:59:21";"2017-05-12 11:03:11";"181.143.142.66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6193944260";"156731405";"2017-05-11 21:04:42";"2017-05-11 21:18:19";"157.253.149.183";"";"";"";"";"4";"5";"4";"5";"5";"5";"5";"4";"4";"11";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"3";"3";"4";"4";
"6193659879";"156731405";"2017-05-11 17:04:53";"2017-05-11 17:29:07";"181.57.174.146";"";"";"";"";"5";"5";"4";"4";"4";"4";"4";"2";"4";"21";"4";"4";"2";"4";"4";"4";"5";"2";"4";"5";"5";"4";"3";"3";"2";"3";"3";"4";"4";"4";"3";"4";"3";"5";"4";"4";"4";"2";"2";"2";"2";"4";"2";"4";"2";"2";
