"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados (Marque N/A si considera que alguno de los enunciados no aplica en su caso):";"";"";"";"";"En promedio, �cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada uno de los ejes tem�ticos del curso a su formaci�n como planeadores urbanos y regionales:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados relacionados con el uso de la tecnolog�a en el curso:";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";"Las herramientas tecnol�gicas usadas en el curso (SICUA contenidos del curso, SICUA foros , SICUA blogs) funcionaron de manera adecuada.";"Las herramientas tecnol�gicas usadas en el curso (SICUA contenidos del curso, SICUA foros , SICUA blogs) fueron f�ciles de usar.";"Los contenidos en la plataforma estaban organizados de una manera que facilitaba su navegaci�n.";"Los contenidos estuvieron disponibles en la plataforma de manera oportuna.";"Tuve claridad sobre los momentos en los que ocurrir�an las actividades durante el semestre.";"La distribuci�n de las actividades en el tiempo fue adecuada.";"Tuve claro a qui�n dirigirme en caso de que se me presentaran dificultades tecnol�gicas.";"Recib� respuesta oportuna para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta satisfactoria para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta oportuna cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"Recib� respuesta satisfactoria cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"Gracias a los espacios de capacitaci�n�he podido usar las herramientas tecnol�gicas sin mayores dificultades.";"N�mero de Horas";"";"Las instrucciones para el uso de las herramientas tecnol�gicas fueron claras";"Las instrucciones para el desarrollo de cada una de las actividades fueron claras";"Las lecturas seleccionadas para el curso fueron pertinentes para mi aprendizaje.";"La informaci�n contenida en las lecturas fue clara.";"La informaci�n contenida en las lecturas fue suficiente";"En este curso el uso de recursos de aprendizaje en diferentes formatos contribuy� a mi proceso de aprendizaje.";"Las actividades presenciales y no presenciales se articulan, integran y complementan entre s�.";"Lecturas obligatorias";"Elaboraci�n de mapas conceptuales sobre lecturas obligatorias";"Talleres grupales virtuales";"Participaci�n en foros SICUA de su grupo de trabajo";"Conferencias magistrales de los profesores";"Conferencias de expertos externos invitados";"Exposiciones individuales y grupales en las sesiones presenciales por parte de sus compa�eros";"M�dulo 1: elementos y herramientas del sistema de informaci�n geogr�fica aplicada al ordenamiento territorial.";"Modulo 2: An�lisis espacial del territorio / Componente general.";"Modulo 3: An�lisis espacial del territorio / Sistema urbano regional y subsistema urbano";"Modulo 4: An�lisis espacial del territorio / Sistema rural y relaciones urbano-rurales.";"La interacci�n con mis compa�eros apoy� mi proceso de aprendizaje.";"El prop�sito de las interacciones con mis compa�eros fue claro.";"Las instrucciones para interactuar con mis compa�eros fueron claras.";"En este curso hay espacios para que los estudiantes participen.";"Me explicaron la forma y los mecanismos que se utilizar�an para evaluarme en el curso.";"Los criterios de evaluaci�n fueron claros.";"La evaluaci�n fue coherente con las actividades realizadas en el curso.";"La retroalimentaci�n que recib� fue constructiva.";"La retroalimentaci�n que recib� de las actividades evaluadas fue�oportuna.";"La retroalimentaci�n que recib� me permiti� conocer en qu� deb�a mejorar.";"La retroalimentaci�n que recib� me permiti� saber c�mo pod�a mejorar.";"La interacci�n y comunicaci�n con mis profesores fue suficiente para orientar mi proceso de aprendizaje.";"Los profesores generaron un ambiente de confianza para que los estudiantes participaran e hicieran preguntas.";"El uso de la tecnolog�a en el curso apoya la comunicaci�n y el trabajo en equipo.";"El uso de la tecnolog�a en el curso me ha permitido utilizar mi tiempo por fuera de clase de manera m�s eficiente.";"El uso de la tecnolog�a en el curso me ofrece opciones para elegir sobre el modo de llevar a cabo las actividades de aprendizaje.";"El uso de la tecnolog�a en el curso me permite acercarme a experiencias relevantes en la vida profesional.";"El uso de la tecnolog�a en el curso permite aprender por fuera de la clase.";"El uso de la tecnolog�a en el curso permite nuevas formas de evaluaci�n.";
"6223950689";"157175724";"2017-06-01 10:20:24";"2017-06-01 11:13:01";"181.59.31.151";"Login estudiante11848";"";"";"";"4";"5";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"3";"2";"4";"3";"4";"4";"4";"5";"5";"4";"3";"4";"5";"3";"3";"4";"5";"5";"3";"4";"3";"4";"4";"4";"5";"4";"4";"4";"4";"3";"4";"5";"5";"5";"5";"5";"5";
"6220256041";"157175724";"2017-05-30 12:32:59";"2017-05-30 12:40:26";"181.52.48.174";"Login estudiante11823";"";"";"";"4";"5";"5";"5";"3";"2";"5";"5";"5";"5";"5";"5";"3";"5";"2";"3";"5";"4";"3";"4";"4";"3";"3";"4";"3";"5";"5";"5";"3";"4";"5";"5";"5";"5";"4";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6217420063";"157175724";"2017-05-27 13:24:47";"2017-05-27 13:36:28";"190.67.192.226";"Login estudiante11832";"";"";"";"2";"1";"1";"2";"3";"1";"4";"3";"3";"3";"3";"3";"4";"5";"2";"2";"3";"3";"3";"3";"2";"3";"3";"3";"3";"2";"3";"4";"3";"3";"3";"3";"3";"4";"4";"3";"4";"4";"4";"4";"3";"4";"3";"4";"4";"3";"3";"3";"3";"3";"3";
"6215045209";"157175724";"2017-05-25 15:49:15";"2017-05-25 16:02:41";"200.93.146.196";"Login estudiante11866";"";"";"";"3";"2";"1";"2";"2";"3";"1";"0";"0";"0";"0";"0";"2";"2";"1";"3";"1";"1";"1";"1";"1";"2";"5";"4";"1";"3";"4";"3";"1";"2";"5";"5";"5";"5";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";
"6211142816";"157175724";"2017-05-23 15:48:32";"2017-05-23 16:32:44";"186.28.25.94";"Login estudiante11828";"";"";"";"3";"3";"2";"4";"4";"3";"5";"4";"4";"0";"0";"3";"4";"4";"3";"2";"4";"2";"2";"4";"4";"4";"4";"3";"1";"4";"3";"3";"2";"4";"4";"4";"2";"4";"2";"4";"4";"3";"3";"2";"3";"1";"1";"3";"4";"3";"3";"3";"2";"3";"3";
"6210785122";"157175724";"2017-05-23 12:41:55";"2017-05-23 13:29:50";"161.18.109.187";"Login estudiante11820";"";"";"";"3";"5";"5";"3";"4";"4";"5";"3";"4";"0";"0";"0";"2";"4";"3";"3";"2";"2";"2";"3";"4";"3";"3";"3";"3";"4";"5";"4";"3";"3";"4";"5";"2";"2";"2";"4";"5";"4";"4";"4";"2";"3";"3";"3";"5";"5";"5";"5";"5";"5";"5";
"6209545526";"157175724";"2017-05-22 17:31:16";"2017-05-22 17:40:50";"157.253.153.23";"Login estudiante11880";"";"";"";"4";"4";"3";"4";"4";"5";"5";"4";"4";"4";"4";"2";"2";"3";"4";"2";"5";"5";"5";"3";"4";"4";"5";"2";"1";"3";"3";"3";"3";"4";"4";"3";"2";"3";"3";"4";"4";"5";"5";"3";"1";"4";"4";"2";"4";"1";"4";"4";"2";"3";"3";
"6209530974";"157175724";"2017-05-22 17:19:42";"2017-05-22 17:31:29";"181.49.74.105";"Login estudiante11875";"";"";"";"2";"4";"4";"2";"4";"2";"4";"4";"4";"4";"4";"0";"3";"5";"2";"2";"3";"4";"2";"4";"3";"3";"3";"5";"2";"3";"3";"4";"4";"3";"3";"3";"4";"4";"4";"2";"4";"4";"4";"4";"4";"2";"4";"1";"4";"3";"2";"2";"2";"2";"2";
"6209517470";"157175724";"2017-05-22 17:09:13";"2017-05-22 17:12:21";"201.245.165.217";"Login estudiante11825";"";"";"";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"4";"4";"3";"2";"2";"3";"2";"4";"3";"3";"5";"3";"3";"3";"5";"2";"3";"4";"4";"5";"5";"4";"2";"4";"2";"2";"2";"1";"1";"1";"3";"3";"3";"4";"4";"4";"4";"4";
"6209509565";"157175724";"2017-05-22 17:02:27";"2017-05-22 17:04:47";"177.252.250.216";"Login estudiante11857";"";"";"";"2";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6209047712";"157175724";"2017-05-22 11:59:50";"2017-05-22 12:10:53";"157.253.198.27";"Login estudiante11879";"";"";"";"4";"4";"5";"2";"4";"2";"4";"5";"5";"5";"5";"0";"4";"4";"4";"4";"3";"4";"4";"3";"4";"4";"4";"3";"2";"5";"5";"5";"3";"4";"5";"5";"2";"3";"3";"4";"3";"3";"4";"5";"4";"5";"5";"4";"5";"4";"3";"2";"2";"4";"2";
"6207948091";"157175724";"2017-05-21 13:19:27";"2017-05-21 14:10:40";"186.29.126.195";"Login estudiante11836";"";"";"";"3";"2";"2";"4";"2";"4";"2";"4";"2";"4";"2";"2";"3";"5";"2";"2";"4";"4";"3";"4";"4";"4";"5";"4";"2";"5";"5";"5";"4";"5";"5";"5";"4";"2";"2";"4";"4";"4";"4";"2";"2";"2";"2";"2";"3";"4";"2";"4";"4";"4";"4";
"6207690130";"157175724";"2017-05-21 0:42:34";"2017-05-21 1:10:21";"200.122.250.74";"Login estudiante11829";"";"";"";"2";"3";"4";"3";"2";"1";"3";"1";"1";"1";"2";"1";"3";"5";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"3";"5";"1";"2";"3";"4";"3";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"6205219013";"157175724";"2017-05-18 22:40:54";"2017-05-18 22:45:48";"181.241.233.222";"Login estudiante11821";"";"";"";"4";"4";"4";"2";"3";"4";"4";"4";"5";"0";"0";"4";"2";"4";"3";"2";"3";"3";"2";"3";"4";"4";"3";"2";"4";"4";"5";"4";"4";"4";"4";"4";"3";"3";"3";"5";"5";"5";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
