"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"�Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con los siguientes enunciados";"";
"";"";"";"";"";"";"";"";"";"Las herramientas tecnol�gicas usadas en el curso (Sicua, simuladores) funcionaron de manera adecuada.";"Las herramientas tecnol�gicas usadas en el curso (Sicua, simuladores) fueron f�ciles de usar.";"Los contenidos en la plataforma estaban organizados de una manera que facilitaba su navegaci�n.";"El uso de la tecnolog�a en el curso apoya la comunicaci�n y el trabajo en equipo.";"El uso de la tecnolog�a en el curso ayuda a que la clase sea m�s din�mica.";"El uso de la tecnolog�a en el curso me ha permitido utilizar mi tiempo por fuera de clase de manera m�s eficiente.";"El uso de la tecnolog�a en el curso me ofrece opciones para elegir sobre el modo de llevar a cabo las actividades de aprendizaje.";"El uso de la tecnolog�a en el curso me permite acercarme a experiencias relevantes en la vida profesional.";"El uso de la tecnolog�a en el curso permite aprender por fuera de la clase.";"El uso de la tecnolog�a en el curso permite nuevas formas de evaluaci�n.";"Los contenidos estuvieron disponibles en la plataforma de manera oportuna.";"Tuve claridad sobre los momentos en los que ocurrir�an las actividades durante el semestre.";"La distribuci�n de las actividades en el tiempo fue adecuada.";"Tuve claro a qui�n dirigirme en caso de que se me presentaran dificultades tecnol�gicas.";"Recib� respuesta oportuna para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta satisfactoria para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta oportuna cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"Recib� respuesta satisfactoria cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"N�mero de Horas";"";"Las instrucciones para el uso de las herramientas tecnol�gicas fueron claras";"Las instrucciones para el desarrollo de cada una de las actividades fueron claras";"Los recursos de aprendizaje seleccionados para el curso (lecturas, talleres, presentaciones) fueron pertinentes para mi aprendizaje.";"La informaci�n contenida en los recursos de aprendizaje (lecturas, talleres, presentaciones) fue clara.";"La informaci�n contenida en los recursos de aprendizaje (lecturas, talleres, presentaciones) fue suficiente";"En este curso el uso de recursos de aprendizaje en diferentes formatos contribuy� a mi proceso de aprendizaje.";"Las actividades desarrolladas en los diferentes espacios del curso (clase magistral, Sicua y sesiones complementarias) se articulan, integran y complementan entre s�.";"Uso del clicker en clases magistrales";"Talleres desarrollados en las sesiones complementarias";"Ejercicios virtuales en Sicua";"Uso de simuladores";"Resoluci�n de dudas sobre la clase magistral en la sesi�n complementaria";"La interacci�n con mis compa�eros apoy� mi proceso de aprendizaje.";"El prop�sito de las interacciones con mis compa�eros fue claro.";"Las instrucciones para interactuar con mis compa�eros fueron claras.";"En este curso hay espacios para que los estudiantes participen.";"Me explicaron la forma y los mecanismos que se utilizar�an para evaluarme en el curso.";"Los criterios de evaluaci�n han sido claros.";"La evaluaci�n fue coherente con las actividades realizadas en el curso.";"La retroalimentaci�n que recib� fue constructiva.";"La retroalimentaci�n que recib� de las actividades evaluadas fue oportuna.";"La retroalimentaci�n que recib� me permiti� conocer en qu� deb�a mejorar.";"La retroalimentaci�n que recib� me permiti� saber c�mo pod�a mejorar.";"La interacci�n y comunicaci�n con mi profesor fue suficiente para orientar mi proceso de aprendizaje.";"La interacci�n y comunicaci�n con el asistente docente fue suficiente para orientar mi proceso de aprendizaje.";"El profesor genera un ambiente de confianza para que los estudiantes participen y hagan preguntas.";"El asistente docente genera un ambiente de confianza en las sesiones complementarias para que los estudiantes participen y hagan preguntas";
"6207955032";"156703961";"2017-05-21 13:35:10";"2017-05-21 13:37:36";"190.25.40.154";"";"";"";"";"3";"4";"4";"3";"4";"4";"4";"4";"4";"4";"3";"1";"2";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"4";"4";"4";"3";"4";"2";"3";"3";"3";"3";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";
"6205592775";"156703961";"2017-05-19 5:37:07";"2017-05-19 5:39:31";"181.61.173.65";"";"";"";"";"4";"5";"5";"5";"4";"5";"5";"5";"4";"4";"5";"4";"4";"5";"5";"5";"5";"5";"3";"3";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"5";"4";"5";"4";"4";"5";"5";"4";
"6205232700";"156703961";"2017-05-18 22:57:27";"2017-05-19 0:38:47";"190.27.152.192";"";"";"";"";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";
"6204910670";"156703961";"2017-05-18 17:56:59";"2017-05-18 18:02:09";"161.18.106.16";"";"";"";"";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"4";"5";"5";"5";"0";"0";"0";"0";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"5";"5";"4";"5";"4";"5";"4";
"6204546777";"156703961";"2017-05-18 14:48:12";"2017-05-18 14:48:19";"190.9.204.106";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6204315312";"156703961";"2017-05-18 13:07:38";"2017-05-18 13:38:00";"186.154.55.180";"";"";"";"";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"0";"0";"3";"3";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"5";"5";"4";"4";"5";"5";"5";"5";
"6204102846";"156703961";"2017-05-18 11:33:58";"2017-05-18 11:35:07";"157.253.177.87";"";"";"";"";"4";"4";"4";"3";"2";"3";"2";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6203902239";"156703961";"2017-05-18 10:01:28";"2017-05-18 10:12:36";"157.253.211.161";"";"";"";"";"5";"5";"5";"4";"4";"3";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"2";"3";"4";"4";"4";"4";"4";"3";"4";"4";"3";"3";"3";"3";"4";"4";"4";"3";"5";"5";"5";"4";"3";"3";"3";"3";"3";"4";"2";
"6203241508";"156703961";"2017-05-18 0:22:38";"2017-05-18 0:22:44";"186.28.66.118";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6203176923";"156703961";"2017-05-17 21:58:51";"2017-05-18 0:26:51";"181.57.251.83";"";"";"";"";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"2";"3";"5";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"4";"4";"4";"4";"4";"5";"5";
"6203063947";"156703961";"2017-05-17 20:45:11";"2017-05-17 20:52:39";"186.31.53.63";"";"";"";"";"5";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"1";"3";"4";"4";"4";"4";"4";"4";"4";"5";"4";"3";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6202913017";"156703961";"2017-05-17 18:24:04";"2017-05-17 18:35:51";"190.84.203.160";"";"";"";"";"4";"4";"2";"3";"5";"3";"3";"1";"3";"5";"2";"4";"3";"2";"4";"4";"3";"3";"1";"3";"3";"4";"4";"2";"2";"4";"4";"3";"4";"2";"3";"5";"3";"3";"4";"4";"4";"4";"4";"2";"3";"2";"2";"3";"3";"4";"4";
"6202896759";"156703961";"2017-05-17 18:11:06";"2017-05-17 18:15:18";"186.154.31.195";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";
"6202873377";"156703961";"2017-05-17 17:53:44";"2017-05-17 18:02:28";"157.253.197.182";"";"";"";"";"5";"5";"5";"2";"5";"4";"2";"3";"5";"5";"3";"3";"4";"2";"4";"4";"0";"0";"2";"3";"4";"4";"4";"5";"4";"5";"5";"5";"4";"3";"3";"4";"4";"4";"4";"2";"5";"5";"5";"4";"4";"4";"4";"4";"3";"4";"3";
"6202871341";"156703961";"2017-05-17 17:52:11";"2017-05-17 17:56:37";"186.28.130.118";"";"";"";"";"5";"5";"5";"5";"4";"3";"4";"4";"3";"4";"5";"5";"4";"4";"5";"5";"5";"5";"3";"4";"4";"4";"4";"4";"4";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6202832235";"156703961";"2017-05-17 17:25:30";"2017-05-17 17:34:22";"186.29.183.236";"";"";"";"";"5";"4";"5";"4";"5";"4";"3";"4";"5";"5";"5";"4";"5";"5";"5";"5";"0";"0";"2";"3";"5";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"4";"4";"4";"3";"3";"4";"3";"5";"5";
"6202743423";"156703961";"2017-05-17 16:33:38";"2017-05-17 16:33:54";"157.253.197.167";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6202734319";"156703961";"2017-05-17 16:28:28";"2017-05-17 16:35:57";"190.27.28.251";"";"";"";"";"5";"5";"5";"2";"4";"3";"5";"5";"5";"5";"5";"5";"5";"3";"0";"0";"0";"0";"2";"3";"5";"5";"5";"5";"5";"4";"5";"5";"5";"3";"3";"3";"4";"5";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6202733567";"156703961";"2017-05-17 16:28:05";"2017-05-17 16:53:07";"181.49.70.90";"";"";"";"";"4";"4";"3";"5";"3";"4";"5";"3";"5";"5";"4";"3";"4";"2";"0";"5";"4";"0";"1";"3";"3";"4";"2";"3";"4";"4";"4";"5";"4";"3";"5";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"5";
"6202020465";"156703961";"2017-05-17 10:44:47";"2017-05-17 10:51:35";"181.57.250.172";"";"";"";"";"4";"5";"4";"5";"5";"4";"5";"5";"5";"5";"2";"4";"4";"5";"4";"4";"4";"4";"2";"3";"4";"4";"4";"3";"4";"4";"4";"5";"5";"3";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"4";"4";"3";"4";"4";"5";"5";
