"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados, recuerde que puede marcar no aplica para�aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados, recuerde que puede marcar no aplica para aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados, recuerde que puede marcar no aplica para aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"";"";"En promedio, �Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase? Seleccione un n�mero.";"Teniendo en cuenta las caracter�sticas del curso/modulo/etc., �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados, recuerde que puede marcar no aplica para aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje. Recuerde que puede marcar no aplica para aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados, recuerde que puede marcar no aplica para aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados, recuerde que puede marcar no aplica para aquellas afirmaciones que no correspondan con lo visto en el curso.";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"";"";"";"";"";"";"";"";"";"Las herramientas tecnol�gicas usadas en el curso funcionaron de manera adecuada.";"Las herramientas tecnol�gicas usadas en el curso fueron f�ciles de usar.";"Los contenidos en la plataforma estaban organizados de una manera que facilitaba su navegaci�n.";"Los contenidos estuvieron disponibles en�la plataforma de manera oportuna.";"Tuve claridad sobre los momentos en los que ocurrir�an las actividades durante el curso�(m�dulo, semestre, etc.).";"La distribuci�n de las actividades en el tiempo fue adecuada.";"Tuve claro a qui�n dirigirme en caso de que se me presentaran dificultades tecnol�gicas.";"Recib� respuesta oportuna para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta satisfactoria�para resolver mis inquietudes sobre las actividades del curso.";"Recib� respuesta oportuna�cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"Recib� respuesta satisfactoria cuando solicit� apoyo para resolver dificultades tecnol�gicas.";"Gracias a los espacios de capacitaci�n�he podido usar las herramientas tecnol�gicas sin mayores dificultades.";"Response";"";"Las instrucciones para el uso de las herramientas tecnol�gicas fueron claras.";"Las instrucciones para el desarrollo de cada una de las actividades fueron claras.";"Los recursos de aprendizaje seleccionados para el curso fueron pertinentes para mi aprendizaje.";"La informaci�n contenida en los recursos de aprendizaje fue clara.";"La informaci�n contenida en los recursos de aprendizaje fue suficiente.";"En este curso el uso de recursos de aprendizaje en diferentes formatos contribuy� a mi proceso de aprendizaje.";"Las actividades desarrolladas en los diferentes espacios del curso (p.ej. magistral, complementaria, laboratorio, presencial y no presencial) se articularon, integraron y complementaron entre s�.";"Proyecto";"Tareas";"Talleres";"Quices";"Parciales";"Pr�cticas de laboratorio";"Complementarias";"Estudios de caso";"La interacci�n con mis compa�eros enriqueci�/apoy�mi proceso de aprendizaje.";"El prop�sito de las interacciones con mis compa�eros fue claro.";"Las instrucciones para interactuar con mis compa�eros fueron claras.";"Las herramientas tecnol�gicas facilitaron mi interacci�n con otros estudiantes.";"En este curso hay espacios y herramientas para que los estudiantes participen.";"Me explicaron la forma y los mecanismos que se utilizar�an para evaluarme en el curso.";"Los criterios de evaluaci�n fueron�claros.";"La evaluaci�n fue coherente con las actividades realizadas en el curso.";"La retroalimentaci�n que recib� fue constructiva.";"La retroalimentaci�n que recib� de las actividades evaluadas fue�oportuna.";"La retroalimentaci�n que recib� me permiti� conocer en qu� deb�a mejorar.";"La retroalimentaci�n que recib� me permiti� saber c�mo pod�a mejorar.";"La interacci�n y comunicaci�n con mi profesor fue suficiente para orientar mi proceso de aprendizaje.";"El profesor gener� un ambiente de confianza para que los estudiantes participaran e hicieran preguntas.";
"5371015478";"97861874";"2017-05-30 15:13:54";"2017-05-30 15:18:19";"186.145.11.253";"Login estudiante16344";"";"";"";"5";"5";"5";"2";"2";"5";"5";"5";"4";"5";"5";"5";"6";"3";"5";"4";"5";"4";"5";"5";"5";"5";"5";"0";"4";"5";"0";"5";"0";"5";"4";"4";"3";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";
"5370917361";"97861874";"2017-05-30 13:34:21";"2017-05-30 13:50:13";"157.253.197.50";"Login estudiante13747";"";"";"";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"6";"3";"4";"4";"5";"4";"4";"4";"4";"3";"5";"0";"4";"4";"4";"5";"3";"5";"4";"4";"4";"4";"";"";"";"";"";"";"";"";"";
"5370823755";"97861874";"2017-05-30 12:02:46";"2017-05-30 12:08:31";"190.156.117.4";"Login estudiante13566";"";"";"";"5";"3";"5";"5";"5";"4";"3";"2";"3";"3";"3";"3";"8";"4";"3";"4";"4";"4";"4";"4";"4";"3";"5";"0";"5";"4";"0";"5";"0";"3";"3";"4";"4";"3";"5";"5";"3";"4";"1";"5";"4";"2";"5";
"5370790459";"97861874";"2017-05-30 11:31:13";"2017-05-30 11:37:28";"157.253.167.192";"Login estudiante16345";"";"";"";"1";"1";"1";"1";"2";"2";"3";"1";"2";"2";"1";"2";"7";"5";"2";"2";"1";"2";"1";"2";"1";"4";"4";"0";"4";"5";"3";"3";"0";"4";"4";"3";"3";"3";"4";"4";"4";"5";"5";"5";"5";"5";"5";
"5370749737";"97861874";"2017-05-30 10:50:35";"2017-05-30 10:57:16";"157.253.226.132";"Login estudiante16346";"";"";"";"5";"3";"4";"3";"2";"3";"3";"4";"4";"4";"4";"4";"11";"3";"2";"3";"4";"4";"4";"4";"5";"5";"4";"0";"2";"2";"5";"5";"3";"4";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"5";
"5370747085";"97861874";"2017-05-30 10:45:12";"2017-05-30 11:26:36";"186.144.118.248";"Login estudiante10689";"";"";"";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"12";"5";"4";"4";"4";"4";"4";"4";"4";"2";"5";"0";"4";"4";"3";"3";"0";"4";"4";"3";"3";"4";"5";"4";"4";"4";"4";"4";"3";"4";"4";
"5370746561";"97861874";"2017-05-30 10:47:22";"2017-05-30 10:52:10";"186.155.197.126";"Login estudiante13611";"";"";"";"4";"3";"5";"2";"4";"2";"4";"4";"4";"4";"4";"4";"5";"5";"3";"3";"3";"4";"4";"4";"3";"5";"4";"4";"3";"3";"3";"4";"4";"5";"5";"5";"4";"4";"4";"5";"3";"4";"3";"3";"3";"4";"5";
"5370596118";"97861874";"2017-05-30 7:49:37";"2017-05-30 7:53:04";"186.80.253.153";"Login estudiante4533";"";"";"";"4";"3";"4";"4";"4";"4";"4";"2";"2";"2";"2";"3";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"2";"4";"3";"2";"3";"4";"3";"4";"4";"4";"3";"3";"3";"5";"3";"5";"4";"5";"1";
"5370584143";"97861874";"2017-05-30 7:29:09";"2017-05-30 7:35:51";"181.61.245.86";"Login estudiante16347";"";"";"";"5";"4";"5";"3";"5";"4";"5";"4";"5";"0";"0";"4";"9";"4";"5";"5";"4";"5";"5";"5";"4";"5";"5";"0";"3";"4";"3";"5";"0";"5";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";
"5370408423";"97861874";"2017-05-30 0:37:01";"2017-05-30 0:40:50";"186.28.101.220";"Login estudiante8134";"";"";"";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"3";"4";"4";"4";"5";"4";"4";"4";"4";"4";"2";"5";"5";"0";"4";"4";"4";"4";"5";"5";"4";"4";"4";"5";"5";"4";"5";"4";"4";"4";"4";"4";
"5370397685";"97861874";"2017-05-30 0:05:12";"2017-05-30 0:10:21";"186.29.56.224";"Login estudiante6178";"";"";"";"0";"0";"0";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";"5";"5";"4";"3";"4";"5";"5";"5";"0";"4";"4";"0";"5";"0";"3";"3";"3";"3";"4";"5";"5";"5";"5";"5";"4";"4";"5";"5";
"5370363091";"97861874";"2017-05-29 22:26:11";"2017-05-29 22:30:00";"186.82.134.60";"Login estudiante5010";"";"";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";
"5370360691";"97861874";"2017-05-29 22:20:54";"2017-05-29 22:31:42";"201.244.244.142";"Login estudiante13639";"";"";"";"4";"4";"4";"4";"5";"4";"3";"4";"4";"4";"4";"5";"7";"4";"4";"4";"4";"4";"3";"5";"5";"4";"5";"0";"4";"4";"0";"5";"0";"5";"4";"4";"3";"4";"4";"4";"3";"5";"4";"5";"5";"3";"5";
"5370339484";"97861874";"2017-05-29 21:26:08";"2017-05-29 21:36:11";"190.27.180.164";"Login estudiante16348";"";"";"";"5";"4";"5";"3";"3";"5";"4";"5";"5";"5";"5";"5";"9";"4";"5";"4";"5";"3";"3";"5";"4";"5";"5";"0";"2";"3";"0";"5";"0";"5";"5";"0";"5";"5";"4";"5";"1";"3";"3";"3";"3";"5";"5";
"5370313040";"97861874";"2017-05-29 20:16:36";"2017-05-29 20:19:36";"80.39.126.70";"Login estudiante13563";"";"";"";"5";"5";"5";"5";"5";"5";"4";"4";"4";"3";"5";"5";"4";"5";"4";"5";"4";"3";"4";"3";"4";"1";"5";"4";"3";"5";"0";"4";"0";"4";"4";"5";"4";"4";"4";"4";"5";"4";"4";"5";"4";"4";"4";
"5370303024";"97861874";"2017-05-29 19:49:41";"2017-05-29 19:55:17";"186.155.199.25";"Login estudiante16349";"";"";"";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"2";"3";"3";"4";"4";"4";"4";"5";"4";"5";"4";"5";"4";"2";"3";"3";"4";"4";"3";"4";
"5370302635";"97861874";"2017-05-29 19:49:14";"2017-05-29 19:54:46";"186.155.16.118";"Login estudiante16350";"";"";"";"3";"4";"4";"4";"5";"4";"3";"4";"4";"3";"3";"5";"16";"5";"4";"4";"4";"3";"3";"0";"5";"4";"5";"0";"5";"5";"0";"4";"0";"2";"3";"0";"0";"4";"5";"4";"3";"2";"3";"3";"3";"5";"4";
"5370276471";"97861874";"2017-05-29 18:41:29";"2017-05-29 18:48:15";"186.80.1.169";"Login estudiante10682";"";"";"";"4";"3";"4";"5";"5";"4";"4";"4";"5";"5";"5";"4";"5";"4";"4";"5";"5";"3";"4";"4";"4";"3";"5";"0";"2";"3";"0";"5";"4";"4";"4";"5";"5";"4";"5";"5";"2";"2";"3";"2";"2";"4";"5";
"5370261925";"97861874";"2017-05-29 18:06:34";"2017-05-29 18:14:49";"186.155.12.203";"Login estudiante13641";"";"";"";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"4";"5";"5";"5";"5";"5";"4";"5";"5";"4";"1";"0";"5";"4";"5";"4";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";
"5370243339";"97861874";"2017-05-29 17:20:48";"2017-05-29 17:26:14";"190.25.32.140";"Login estudiante16351";"";"";"";"5";"4";"4";"3";"4";"4";"3";"4";"4";"4";"4";"4";"5";"3";"4";"4";"5";"4";"3";"5";"5";"5";"5";"0";"2";"5";"5";"5";"0";"5";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"3";"4";
"5370239293";"97861874";"2017-05-29 17:11:14";"2017-05-29 17:18:23";"181.57.251.213";"Login estudiante5654";"";"";"";"4";"4";"4";"4";"4";"3";"5";"4";"4";"4";"5";"4";"3";"4";"4";"4";"4";"4";"4";"4";"5";"4";"3";"0";"5";"5";"0";"5";"0";"3";"2";"2";"2";"4";"3";"4";"3";"4";"4";"4";"4";"4";"5";
"5370236513";"97861874";"2017-05-29 17:04:44";"2017-05-29 17:10:44";"190.9.220.188";"Login estudiante16352";"";"";"";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"4";"4";"6";"4";"4";"4";"4";"3";"4";"5";"5";"2";"5";"0";"4";"4";"0";"4";"0";"4";"3";"3";"4";"4";"5";"5";"4";"2";"2";"4";"2";"2";"4";
"5370160924";"97861874";"2017-05-29 14:29:38";"2017-05-29 14:35:17";"201.244.173.178";"Login estudiante6036";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"3";"4";"5";"4";"4";"5";"4";"5";"2";"5";"0";"3";"4";"0";"4";"0";"4";"3";"3";"3";"3";"4";"4";"3";"4";"4";"4";"4";"5";"5";
"5370140897";"97861874";"2017-05-29 13:48:48";"2017-05-29 14:00:50";"186.31.11.40";"Login estudiante5608";"";"";"";"5";"4";"4";"4";"2";"2";"4";"3";"4";"0";"0";"5";"14";"5";"4";"4";"4";"5";"5";"5";"4";"1";"5";"0";"4";"2";"0";"2";"0";"1";"2";"4";"4";"1";"4";"1";"3";"2";"2";"2";"2";"4";"5";
"5370127267";"97861874";"2017-05-29 13:21:48";"2017-05-29 13:34:12";"181.56.170.184";"Login estudiante7640";"";"";"";"5";"4";"4";"4";"5";"5";"3";"4";"5";"5";"5";"5";"6";"4";"4";"4";"5";"4";"4";"5";"4";"1";"5";"0";"4";"5";"3";"4";"0";"5";"4";"1";"1";"1";"5";"5";"3";"2";"3";"4";"4";"5";"4";
"5370101306";"97861874";"2017-05-29 12:32:36";"2017-05-29 12:37:19";"181.54.22.96";"Login estudiante8571";"";"";"";"4";"5";"5";"5";"5";"4";"4";"0";"0";"0";"0";"0";"7";"4";"5";"5";"5";"5";"5";"5";"5";"4";"5";"4";"3";"5";"0";"5";"0";"5";"4";"4";"0";"0";"5";"5";"5";"4";"4";"3";"3";"5";"4";
"5370026869";"97861874";"2017-05-29 10:23:10";"2017-05-29 10:41:45";"181.61.75.4";"Login estudiante8352";"";"";"";"4";"4";"4";"4";"4";"4";"2";"4";"4";"4";"4";"0";"9";"5";"3";"4";"4";"4";"2";"4";"4";"3";"4";"0";"3";"2";"0";"4";"0";"4";"4";"4";"2";"4";"4";"4";"2";"5";"5";"5";"5";"5";"5";
"5369778886";"97861874";"2017-05-29 1:41:55";"2017-05-29 1:46:34";"186.28.32.149";"Login estudiante2982";"";"";"";"1";"2";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"6";"4";"1";"1";"1";"1";"1";"1";"4";"2";"4";"4";"2";"4";"0";"4";"0";"5";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";
"5369762387";"97861874";"2017-05-29 0:48:49";"2017-05-29 0:58:25";"181.57.241.128";"Login estudiante5215";"";"";"";"5";"4";"4";"5";"5";"5";"3";"4";"4";"5";"4";"3";"4";"4";"4";"5";"4";"4";"3";"4";"5";"4";"5";"0";"4";"";"0";"5";"0";"4";"4";"3";"1";"3";"5";"5";"5";"3";"4";"2";"1";"3";"5";
"5369747812";"97861874";"2017-05-29 0:01:14";"2017-05-29 0:05:25";"190.25.42.172";"Login estudiante8370";"";"";"";"4";"4";"4";"5";"4";"4";"3";"3";"3";"2";"2";"2";"6";"5";"4";"4";"3";"3";"3";"3";"4";"2";"5";"0";"1";"1";"0";"4";"0";"2";"1";"1";"4";"2";"4";"3";"2";"1";"3";"2";"1";"1";"2";
"5369742935";"97861874";"2017-05-28 23:42:18";"2017-05-28 23:58:30";"186.155.13.206";"Login estudiante13196";"";"";"";"4";"5";"4";"4";"3";"4";"5";"4";"5";"5";"4";"4";"4";"3";"4";"4";"4";"4";"3";"3";"4";"3";"5";"0";"3";"4";"0";"4";"0";"3";"3";"3";"4";"5";"4";"4";"4";"4";"4";"4";"3";"4";"4";
"5369699630";"97861874";"2017-05-28 21:09:23";"2017-05-28 21:51:27";"190.159.242.13";"Login estudiante16353";"";"";"";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"10";"4";"5";"5";"4";"4";"4";"5";"5";"3";"5";"0";"3";"4";"0";"5";"0";"5";"5";"5";"2";"3";"5";"5";"4";"5";"5";"5";"5";"3";"4";
"5369684990";"97861874";"2017-05-28 20:39:17";"2017-05-28 20:47:19";"181.240.163.12";"Login estudiante11054";"";"";"";"3";"4";"3";"3";"1";"4";"4";"3";"3";"3";"3";"4";"3";"3";"4";"4";"4";"4";"1";"4";"4";"5";"4";"0";"3";"1";"0";"5";"0";"4";"4";"0";"4";"2";"4";"4";"2";"4";"4";"4";"5";"2";"4";
