"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado estudiante,Su participaci�n en esta encuesta es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.Si decide participar, por favor marque �S� y luego haga clic en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.Gracias por su colaboraci�n.";"Por favor indique el profesor a cargo de la secci�n en la que se encuentra inscrito(a)";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados (Marque N/A en caso de que alguno de los enunciados no aplique de acuerdo con su experiencia):";"";"";"";"O10_En promedio, �cu�ntas horas por semana�ha tenido�que dedicar a las actividades desarrolladas fuera de clase?";"O11_�C�mo considera la carga acad�mica del curso?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"";"";"";"";"";"";"";"";"";"Response";"Response";"HT1_Las herramientas tecnol�gicas usadas en el curso (SICUA contenidos, SICUA diarios, Panotour, WebEx, Kahoot) han funcionado de manera adecuada.";"HT2_Las herramientas tecnol�gicas usadas en el curso (SICUA contenidos, SICUA diarios, Panotour, WebEx, Kahoot) han sido f�ciles de usar.";"HT3_Los contenidos en la plataforma se han organizado de una manera que facilita su navegaci�n.";"O1_Los contenidos han estado disponibles en�la plataforma de manera oportuna.";"O2_He tenido claridad sobre los momentos en los que ocurren las actividades durante el curso.";"O3_La distribuci�n de las actividades en el tiempo ha sido adecuada.";"O4_He tenido claro a qui�n dirigirme en caso de que se me presenten dificultades tecnol�gicas.";"O5_He recibido respuesta oportuna para resolver mis inquietudes sobre las actividades del curso.";"O6_He recibido respuesta satisfactoria para resolver mis inquietudes sobre las actividades del curso.";"O7_He recibido respuesta oportuna cuando he solicitado apoyo para resolver dificultades tecnol�gicas.";"O8_He recibido respuesta satisfactoria cuando he solicitado apoyo para resolver dificultades tecnol�gicas.";"Response";"";"C1_Las instrucciones para el uso de las herramientas tecnol�gicas han sido claras.";"C2_Las instrucciones para el desarrollo de cada una de las actividades han sido claras.";"C3_Los recursos de aprendizaje seleccionados para el curso (videos de contexto, videos de contenido (p�ldoras), recursos en panotour, planos y presentaciones) han sido pertinentes para mi aprendizaje.";"C4_La informaci�n contenida en los recursos de aprendizaje�(videos de contexto, videos de contenido (p�ldoras), recursos en panotour, planos y presentaciones) ha sido clara.";"C5_La informaci�n contenida en los recursos de aprendizaje�(videos de contexto, videos de contenido (p�ldoras), recursos en panotour, planos y presentaciones) ha sido suficiente.";"C6_El uso de recursos de aprendizaje en diferentes formatos ha contribuido a mi proceso de aprendizaje en este curso.";"A1_Las actividades desarrolladas en los espacios presenciales y no presenciales se han articulado, integrado y complementado entre s�.";"Clases magistrales del profesor";"Revisi�n de recursos por panotour";"Videoconferencias";"Chat de discusi�n de grupos de trabajo";"Chat de discusi�n de grupos de expertos";"Actividades de participaci�n por medio de la herramienta Kahoot";"Entrega final del primer reto";"Entrega final del segundo reto";"Entrega final del tercer reto";"I1_La interacci�n con mis compa�eros ha apoyado mi proceso de aprendizaje.";"I2_El prop�sito de las�interacciones con mis compa�eros ha sido claro.";"I3_La metodolog�a de ense�anza utilizada en este curso me ha facilitado colaborar con mis compa�eros.";"I4_Las herramientas tecnol�gicas del curso han facilitado mi interacci�n con otros estudiantes.";"I5_En este curso se ha promovido la participaci�n de los estudiantes.";"I6_En este curso se ha promovido el trabajo en grupo o en equipo.";"I7_En este curso se ha promovido la retroalimentaci�n entre compa�eros.";"I8_En este curso se ha promovido el intercambio de experiencias e ideas entre estudiantes.";"I9_En este curso, el aporte de otros estudiantes ha sido necesario para completar las actividades grupales o en equipo.";"E1_Me han explicado la forma y los mecanismos que se�utilizan para evaluarme en el curso.";"E2_Los criterios de evaluaci�n han sido claros.";"E3_La evaluaci�n ha sido coherente con las actividades realizadas en el curso.";"E4_La retroalimentaci�n que he recibido ha sido�constructiva.";"E5_La retroalimentaci�n que he recibido de las actividades evaluadas ha sido oportuna.";"E6_La retroalimentaci�n que he recibido me ha permitido conocer en qu� debo mejorar.";"E7_La retroalimentaci�n que he recibido me ha permitido saber c�mo puedo mejorar.";"E8_La interacci�n y comunicaci�n con mi profesor(a) ha sido suficiente para orientar mi proceso de aprendizaje.";"AC_El profesor ha generado un ambiente de confianza para que los estudiantes participen y hagan�preguntas.";
"6514251679";"165427744";"2017-11-12 11:40:47";"2017-11-12 11:48:12";"186.29.216.217";"Login estudiante12391";"";"";"";"1";"1";"5";"5";"4";"4";"2";"5";"5";"5";"5";"5";"5";"7";"3";"5";"2";"5";"5";"5";"5";"5";"5";"4";"5";"1";"1";"3";"5";"5";"5";"4";"5";"5";"4";"5";"5";"3";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6512407051";"165427744";"2017-11-10 19:49:56";"2017-11-10 19:53:29";"190.157.242.170";"Login estudiante12422";"";"";"";"1";"2";"4";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6509986330";"165427744";"2017-11-09 18:32:54";"2017-11-09 18:40:57";"186.28.42.245";"Login estudiante10388";"";"";"";"1";"2";"3";"4";"4";"4";"3";"3";"4";"5";"5";"4";"4";"2";"3";"4";"3";"4";"4";"4";"3";"3";"5";"5";"2";"3";"4";"4";"4";"3";"3";"4";"4";"3";"4";"4";"4";"4";"4";"4";"3";"3";"4";"3";"3";"4";"4";"3";"4";
"6509758698";"165427744";"2017-11-09 16:40:43";"2017-11-09 16:52:00";"157.253.137.91";"Login estudiante12409";"";"";"";"1";"1";"4";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"7";"3";"4";"5";"4";"5";"4";"3";"4";"5";"3";"4";"4";"3";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"5";
"6509756706";"165427744";"2017-11-09 16:38:58";"2017-11-09 16:47:24";"157.253.153.15";"Login estudiante12399";"";"";"";"1";"1";"5";"4";"4";"4";"2";"3";"2";"3";"3";"2";"3";"11";"3";"3";"3";"5";"5";"4";"4";"3";"5";"3";"4";"4";"2";"3";"3";"4";"3";"4";"5";"4";"3";"3";"5";"4";"4";"4";"3";"3";"4";"4";"2";"3";"4";"3";"4";
"6509756673";"165427744";"2017-11-09 16:40:06";"2017-11-09 16:46:59";"157.253.148.20";"Login estudiante12402";"";"";"";"1";"1";"5";"4";"5";"4";"5";"4";"3";"4";"4";"4";"4";"5";"3";"4";"4";"5";"5";"4";"4";"5";"5";"3";"4";"5";"3";"5";"5";"4";"5";"4";"4";"4";"5";"4";"5";"4";"5";"4";"4";"4";"5";"4";"4";"5";"4";"4";"5";
"6509755953";"165427744";"2017-11-09 16:39:44";"2017-11-09 16:45:12";"157.253.138.45";"Login estudiante6082";"";"";"";"1";"1";"3";"4";"4";"4";"4";"5";"2";"0";"4";"0";"0";"11";"4";"3";"3";"4";"4";"5";"4";"4";"5";"4";"4";"3";"3";"5";"4";"4";"3";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6509754646";"165427744";"2017-11-09 16:39:14";"2017-11-09 16:45:46";"157.253.165.41";"Login estudiante12444";"";"";"";"1";"2";"5";"5";"5";"5";"4";"5";"5";"5";"0";"0";"0";"3";"3";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"5";"5";"4";"4";"5";"5";"5";"5";"5";"4";"5";"5";"3";"5";"4";"5";"5";"5";"5";"3";"5";"3";"4";"5";
"6509754168";"165427744";"2017-11-09 16:39:00";"2017-11-09 16:47:25";"157.253.164.232";"Login estudiante12450";"";"";"";"1";"2";"5";"4";"3";"4";"4";"4";"2";"0";"0";"0";"0";"5";"3";"3";"3";"5";"4";"3";"3";"2";"4";"3";"2";"1";"1";"4";"4";"2";"3";"3";"3";"2";"2";"3";"3";"3";"3";"4";"4";"4";"4";"3";"3";"4";"4";"4";"5";
