loginEstudiante,crn,codigo_curso,nota,anio,periodo,HT,AC,O,C,A,I,E 
 Login estudiante10790,CRN-1537,COD1534,4.4,201720,1,4.388888888888889,4.0,2.4444444444444446,4.0,4.0,4.0,3.875,
Login estudiante10781,CRN-1537,COD1534,4.74,201720,1,3.888888888888889,4.0,4.0,4.0,4.0,4.0,4.0,
Login estudiante13369,CRN-1537,COD1534,4.4,201720,1,4.888888888888889,5.0,4.444444444444445,5.0,5.0,4.222222222222222,5.0,
Login estudiante10789,CRN-1537,COD1534,4.53,201720,1,3.1666666666666665,null,2.4444444444444446,null,null,null,null,
Login estudiante10782,CRN-1537,COD1534,4.75,201720,1,4.222222222222222,4.0,4.222222222222222,4.0,4.0,4.222222222222222,4.0,
Login estudiante10778,CRN-1537,COD1534,4.69,201720,1,4.722222222222222,5.0,2.0,5.0,5.0,4.444444444444445,4.875,
Login estudiante10785,CRN-1537,COD1534,4.61,201720,1,2.8333333333333335,null,3.0,null,null,null,null,
Login estudiante13370,CRN-1537,COD1534,4.2,201720,1,4.722222222222222,5.0,2.888888888888889,4.041666666666667,5.0,4.888888888888889,3.75,
null,CRN-16672,null,null,null,null,4.0,3.0,3.888888888888889,4.0,4.0,4.0,4.0,
null,CRN-16672,null,null,null,null,4.0,5.0,4.0,4.0,4.0,4.0,4.0,
null,CRN-16672,null,null,null,null,4.0,2.0,2.6666666666666665,3.5,4.0,3.888888888888889,2.75,
null,CRN-16672,null,null,null,null,4.0,3.0,2.7777777777777777,4.166666666666667,5.0,3.888888888888889,3.5,
null,CRN-16672,null,null,null,null,3.6666666666666665,1.0,2.0,1.3333333333333333,3.0,1.0,2.375,
null,CRN-16672,null,null,null,null,3.6666666666666665,3.0,3.0,4.5,3.0,3.4444444444444446,2.75,
null,CRN-16672,null,null,null,null,5.0,3.0,3.111111111111111,5.0,4.0,4.111111111111111,4.75,
null,CRN-16672,null,null,null,null,4.0,3.0,2.7777777777777777,4.0,3.0,4.0,3.5,
null,CRN-16672,null,null,null,null,4.0,3.0,2.888888888888889,2.5,2.0,2.6666666666666665,2.375,
null,CRN-16672,null,null,null,null,3.0,3.0,2.5555555555555554,3.3333333333333335,4.0,3.2222222222222223,3.375,
null,CRN-16672,null,null,null,null,4.666666666666667,3.0,2.3333333333333335,4.0,4.0,3.4444444444444446,3.5,
null,CRN-16672,null,null,null,null,3.3333333333333335,4.0,2.5555555555555554,4.0,4.0,2.7777777777777777,3.625,
null,CRN-16672,null,null,null,null,4.0,1.0,2.0,3.5,4.0,3.3333333333333335,1.5,
null,CRN-16672,null,null,null,null,null,null,null,null,null,null,null,
null,CRN-16672,null,null,null,null,null,null,null,null,null,null,null,
null,CRN-16672,null,null,null,null,4.0,3.0,3.0,4.0,2.0,4.333333333333333,2.875,
null,CRN-16672,null,null,null,null,3.3333333333333335,3.0,3.111111111111111,3.6666666666666665,2.0,4.0,3.25,
null,CRN-16672,null,null,null,null,4.0,3.0,3.888888888888889,4.0,4.0,3.111111111111111,3.125,
null,CRN-16672,null,null,null,null,5.0,3.0,2.5555555555555554,4.666666666666667,4.0,3.888888888888889,4.875,
null,CRN-16672,null,null,null,null,null,null,null,null,null,null,null,
null,CRN-16672,null,null,null,null,4.0,3.0,3.6666666666666665,4.0,4.0,4.0,3.875,
null,CRN-16672,null,null,null,null,4.0,4.0,3.888888888888889,3.1666666666666665,4.0,4.555555555555555,2.75,
null,CRN-16672,null,null,null,null,4.0,3.0,4.0,5.0,5.0,4.0,2.75,
null,CRN-16672,null,null,null,null,3.3333333333333335,3.0,3.888888888888889,4.166666666666667,3.0,4.0,2.75,
null,CRN-16672,null,null,null,null,3.0,1.0,2.2222222222222223,2.6666666666666665,4.0,3.0,1.875,
null,CRN-16672,null,null,null,null,4.0,3.0,3.888888888888889,3.8333333333333335,4.0,3.6666666666666665,3.375,
null,CRN-16672,null,null,null,null,4.0,4.0,3.888888888888889,4.0,4.0,4.0,4.0,
null,CRN-16672,null,null,null,null,3.0,null,4.666666666666667,null,null,null,null,
null,CRN-16672,null,null,null,null,4.0,3.0,3.7777777777777777,3.5,4.0,3.2222222222222223,3.375,
null,CRN-16672,null,null,null,null,4.0,4.0,3.5555555555555554,4.166666666666667,4.0,4.555555555555555,4.375,
null,CRN-16672,null,null,null,null,5.0,5.0,4.777777777777778,5.0,5.0,3.888888888888889,4.25,
null,CRN-16672,null,null,null,null,4.333333333333333,4.0,3.4444444444444446,3.5,4.0,3.2222222222222223,3.5,
null,CRN-16672,null,null,null,null,4.333333333333333,4.0,3.0,3.8333333333333335,3.0,3.4444444444444446,3.25,
null,CRN-16672,null,null,null,null,3.6666666666666665,2.0,2.3333333333333335,3.8333333333333335,2.0,2.5555555555555554,1.625,
null,CRN-16672,null,null,null,null,4.666666666666667,4.0,4.222222222222222,5.0,5.0,4.777777777777778,4.5,
null,CRN-16672,null,null,null,null,4.333333333333333,4.0,3.2222222222222223,4.0,4.0,3.4444444444444446,3.875,
null,CRN-16672,null,null,null,null,5.0,5.0,3.3333333333333335,5.0,5.0,4.444444444444445,5.0,
null,CRN-16672,null,null,null,null,5.0,2.0,2.3333333333333335,3.6666666666666665,4.0,4.222222222222222,3.75,
null,CRN-16672,null,null,null,null,4.0,5.0,4.777777777777778,4.0,4.0,4.0,4.875,
null,CRN-16672,null,null,null,null,4.0,1.0,2.7777777777777777,2.1666666666666665,1.0,2.0,1.0,
null,CRN-16672,null,null,null,null,4.0,3.0,3.888888888888889,4.0,2.0,3.6666666666666665,1.5,
null,CRN-16672,null,null,null,null,4.333333333333333,5.0,4.333333333333333,4.0,5.0,4.222222222222222,4.75,
null,CRN-16672,null,null,null,null,4.0,4.0,3.6666666666666665,3.1666666666666665,4.0,3.4444444444444446,3.25,
null,CRN-16672,null,null,null,null,4.666666666666667,3.0,2.2222222222222223,3.8333333333333335,4.0,4.0,3.75,
null,CRN-16672,null,null,null,null,3.6666666666666665,3.0,3.0,3.3333333333333335,4.0,3.7777777777777777,3.375,
null,CRN-16672,null,null,null,null,null,null,null,null,null,null,null,
null,CRN-16672,null,null,null,null,4.0,4.0,3.7777777777777777,4.0,4.0,4.0,3.25,
null,CRN-16672,null,null,null,null,4.0,null,null,null,null,null,null,
null,CRN-16672,null,null,null,null,4.333333333333333,4.0,4.0,4.333333333333333,4.0,4.222222222222222,3.75,
null,CRN-16672,null,null,null,null,5.0,5.0,3.3333333333333335,4.5,5.0,4.333333333333333,3.25,
Login estudiante9503,CRN-16673,null,null,null,null,3.6666666666666665,4.0,1.4444444444444444,3.8333333333333335,5.0,3.4444444444444446,4.0,
Login estudiante16069,CRN-16673,null,null,null,null,3.6666666666666665,3.0,1.8888888888888888,3.3333333333333335,4.0,3.111111111111111,4.0,
Login estudiante9974,CRN-16673,null,null,null,null,4.333333333333333,4.0,4.111111111111111,4.0,5.0,3.5555555555555554,4.625,
Login estudiante3806,CRN-16673,null,null,null,null,null,null,null,null,null,null,null,
Login estudiante9711,CRN-16673,null,null,null,null,4.0,5.0,2.6666666666666665,3.3333333333333335,4.0,3.888888888888889,4.625,
Login estudiante16074,CRN-16673,null,null,null,null,3.0,null,null,null,null,null,null,
Login estudiante15439,CRN-16673,null,null,null,null,4.0,null,2.0,4.333333333333333,null,null,null,
Login estudiante9463,CRN-16673,null,null,null,null,3.6666666666666665,3.0,2.111111111111111,3.5,2.0,3.111111111111111,3.875,
Login estudiante16078,CRN-16673,null,null,null,null,4.0,3.0,3.2222222222222223,4.0,4.0,2.888888888888889,3.5,
Login estudiante16080,CRN-16673,null,null,null,null,5.0,4.0,4.444444444444445,5.0,5.0,4.666666666666667,5.0,
Login estudiante5082,CRN-16673,null,null,null,null,3.0,5.0,3.4444444444444446,4.5,5.0,3.6666666666666665,5.0,
Login estudiante9459,CRN-16673,null,null,null,null,4.0,4.0,1.8888888888888888,4.0,3.0,3.3333333333333335,4.0,
Login estudiante10017,CRN-16673,null,null,null,null,5.0,4.0,2.2222222222222223,5.0,5.0,3.6666666666666665,5.0,
Login estudiante9088,CRN-16673,null,null,null,null,5.0,3.0,2.0,4.833333333333333,5.0,2.888888888888889,3.625,
Login estudiante16128,CRN-16674,null,null,null,null,4.0,5.0,5.0,4.833333333333333,4.0,4.777777777777778,4.5,
Login estudiante4938,CRN-16674,null,null,null,null,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Login estudiante11306,CRN-16674,null,null,null,null,4.0,4.0,4.111111111111111,3.6666666666666665,4.0,4.333333333333333,4.75,
Login estudiante11300,CRN-16674,null,null,null,null,4.333333333333333,4.0,4.444444444444445,4.5,5.0,1.4444444444444444,4.875,
Login estudiante11292,CRN-16674,null,null,null,null,4.333333333333333,4.0,4.222222222222222,4.666666666666667,5.0,4.111111111111111,4.875,
Login estudiante11297,CRN-16674,null,null,null,null,3.6666666666666665,4.0,2.2222222222222223,3.8333333333333335,5.0,5.0,2.75,
Login estudiante16135,CRN-16674,null,null,null,null,4.333333333333333,4.0,4.444444444444445,4.5,4.0,4.444444444444445,4.875,
Login estudiante5589,CRN-16674,null,null,null,null,4.0,null,null,null,null,null,null,
Login estudiante16138,CRN-16674,null,null,null,null,3.3333333333333335,4.0,3.4444444444444446,3.8333333333333335,3.0,3.4444444444444446,5.0,
Login estudiante4207,CRN-16674,null,null,null,null,0.0,4.0,4.111111111111111,4.0,4.0,4.0,4.0,
Login estudiante10813,CRN-16674,null,null,null,null,5.0,5.0,5.0,5.0,5.0,4.777777777777778,5.0,
Login estudiante16142,CRN-16674,null,null,null,null,null,null,null,null,null,null,null,
Login estudiante16144,CRN-16674,null,null,null,null,null,null,null,null,null,null,null,
Login estudiante16146,CRN-16674,null,null,null,null,4.666666666666667,4.0,5.0,4.5,4.0,3.888888888888889,3.75,
Login estudiante7117,CRN-16674,null,null,null,null,5.0,5.0,4.333333333333333,4.166666666666667,4.0,4.555555555555555,5.0,
Login estudiante5588,CRN-16674,null,null,null,null,4.0,3.0,3.111111111111111,3.3333333333333335,4.0,3.2222222222222223,3.375,
Login estudiante11240,CRN-16675,null,null,null,null,4.333333333333333,4.0,3.111111111111111,4.666666666666667,4.0,2.888888888888889,3.875,
Login estudiante3316,CRN-16675,null,null,null,null,4.666666666666667,5.0,4.444444444444445,4.0,4.0,2.888888888888889,3.875,
Login estudiante16222,CRN-16675,null,null,null,null,3.6666666666666665,4.0,2.6666666666666665,3.5,4.5,4.0,3.125,
Login estudiante10672,CRN-16675,null,null,null,null,4.0,4.0,3.2222222222222223,3.6666666666666665,4.0,3.111111111111111,3.0,
Login estudiante10738,CRN-16675,null,null,null,null,3.6666666666666665,2.0,3.111111111111111,2.3333333333333335,3.5,4.333333333333333,4.75,
Login estudiante6617,CRN-16675,null,null,null,null,4.0,3.0,3.7777777777777777,3.6666666666666665,4.0,2.7777777777777777,3.25,
Login estudiante8671,CRN-16675,null,null,null,null,3.0,1.0,3.3333333333333335,2.8333333333333335,3.5,2.0,2.625,
Login estudiante16228,CRN-16675,null,null,null,null,3.3333333333333335,3.0,3.111111111111111,3.0,3.0,3.0,3.0,
