crn,cod,inscritos,retiros,HT,AC,O,C,A,I,E 
 CRN-1537,COD1534,13,0,4.104166666666667,4.5,3.1805555555555554,4.340277777777778,4.5,4.296296296296297,4.25,
CRN-16672,null,null,null,4.072463768115942,3.272727272727273,3.311111111111111,3.859848484848485,3.75,3.676767676767677,3.3579545454545454,
CRN-16673,null,null,null,4.0256410256410255,3.8181818181818183,2.6203703703703702,4.138888888888889,4.2727272727272725,3.474747474747475,4.295454545454546,
CRN-16674,null,null,null,3.9761904761904763,4.230769230769231,4.188034188034188,4.294871794871795,4.3076923076923075,4.076923076923077,4.4423076923076925,
CRN-16675,null,null,null,4.05982905982906,3.5945945945945947,3.339031339031339,3.6324786324786325,3.8421052631578947,3.5075075075075075,3.675675675675676,
CRN-16676,null,null,null,4.416666666666667,4.777777777777778,3.309941520467836,4.12962962962963,3.9444444444444446,4.1419753086419755,4.298611111111111,
CRN-16687,null,null,null,3.9615384615384617,3.857142857142857,3.1159420289855073,3.378787878787879,3.3333333333333335,3.984126984126984,2.880952380952381,
CRN-16688,null,null,null,3.263888888888889,3.8421052631578947,3.308080808080808,3.142857142857143,3.35,3.2748538011695905,3.4473684210526314,
CRN-16689,null,null,null,3.263888888888889,3.8421052631578947,3.308080808080808,3.142857142857143,3.35,3.2748538011695905,3.4473684210526314,
CRN-16690,null,null,null,4.375,null,3.4166666666666665,3.8284313725490198,3.9393939393939394,3.8114478114478114,3.871212121212121,
CRN-16691,null,null,null,4.138888888888889,4.636363636363637,4.12037037037037,4.111111111111111,4.454545454545454,3.5656565656565657,4.295454545454546,
CRN-16712,null,null,null,4.053333333333334,null,3.260869565217391,3.4869565217391303,3.772727272727273,3.533333333333333,3.51875,
CRN-16714,null,null,null,4.125,5.0,3.6984126984126986,4.071428571428571,4.142857142857143,4.2407407407407405,4.5625,
CRN-16719,null,null,null,4.555555555555555,4.842105263157895,3.6944444444444446,4.307017543859649,4.315789473684211,4.181286549707602,4.532894736842105,
CRN-1781,COD1780,12,0,4.625,4.875,4.402777777777778,4.666666666666667,4.75,4.236111111111111,4.78125,
CRN-1888,COD1887,43,3,4.7101449275362315,4.956521739130435,4.299516908212561,4.536231884057971,4.173913043478261,3.681159420289855,4.391304347826087,
CRN-1897,COD1896,26,0,3.888888888888889,4.0,4.074074074074074,4.0,4.0,4.2592592592592595,4.041666666666667,
CRN-1907,COD1906,13,1,4.111111111111111,4.833333333333333,3.111111111111111,4.361111111111111,4.166666666666667,4.333333333333333,3.7916666666666665,
CRN-1924,COD1919,18,0,3.8666666666666667,4.5,3.6444444444444444,4.15,4.0,4.033333333333333,4.0375,
CRN-1931,COD1930,6,0,4.222222222222222,4.333333333333333,3.92,4.611111111111111,4.333333333333333,3.925925925925926,4.125,
CRN-2418,COD926,50,2,4.515151515151516,4.666666666666667,3.8333333333333335,4.5,4.666666666666667,3.9074074074074074,4.291666666666667,
CRN-2424,COD1699,10,0,3.8095238095238093,5.0,3.7301587301587302,3.8333333333333335,4.142857142857143,4.190476190476191,4.5,
CRN-337,COD333,61,2,3.695906432748538,3.3207547169811322,3.0787878787878786,3.8144654088050314,3.5660377358490565,3.9329140461215935,3.5023584905660377,
CRN-502,COD500,76,1,4.226190476190476,4.372549019607843,3.270440251572327,3.9622641509433962,3.7735849056603774,3.7735849056603774,3.4779411764705883,
CRN-515,COD514,26,5,4.666666666666667,5.0,4.171875,4.520833333333333,4.75,4.111111111111111,4.546875,
CRN-548,COD547,58,10,3.8045977011494254,4.769230769230769,3.345679012345679,4.197530864197531,3.5925925925925926,3.876068376068376,4.221153846153846,
CRN-560,COD558,81,0,4.395348837209302,4.648648648648648,3.452777777777778,4.3125,4.092105263157895,4.157894736842105,4.280405405405405,
CRN-718,COD716,28,2,4.333333333333333,4.833333333333333,3.2962962962962963,4.305555555555555,3.6666666666666665,4.074074074074074,4.229166666666667,
CRN-749,COD745,35,1,3.54320987654321,4.555555555555555,3.51440329218107,3.6049382716049383,4.296296296296297,4.045267489711934,4.212962962962963,
CRN-757,COD755,79,4,3.630952380952381,3.9,3.1707317073170733,3.7642857142857142,3.85,3.7666666666666666,3.403125,
CRN-765,COD763,52,2,4.368055555555555,4.318181818181818,3.3850931677018634,4.355072463768116,4.288888888888889,4.234567901234568,4.275568181818182,
